frame,phase,lead_arm_angle,trail_arm_angle,shoulder_rotation,hip_rotation,spine_tilt,lead_knee_flex,trail_knee_flex
0,Unknown,129.00801367353958,130.5436788843322,18.964713451591994,12.492019636181952,0.35666272635683044,127.99599240670749,119.70950463772417
1,Unknown,138.43410194551254,145.46251665620989,19.338698043663474,15.600558909391264,0.649826609687905,135.12767157137915,137.2667882857735
2,Unknown,133.0551454706221,139.6405824123653,20.74054614612289,15.250993428449336,0.8402820167885585,131.27136897283717,132.08517229857318
3,Unknown,137.11622320351736,143.64741662021214,20.506451355350702,14.245280030640943,0.8761940036022634,130.51191997978498,129.2619505081088
4,Unknown,131.28414971911465,142.26417507540089,24.18403651992083,14.585226944696608,0.9028562982925747,132.05249816891853,130.36121863379003
5,Unknown,136.85660575440951,143.45902027829797,20.74286820140747,14.682324928785226,0.8732367292733328,130.7478209381202,129.25576196201627
6,Setup,131.0963242840221,140.577797927547,23.576733540670364,14.7335487642073,0.8852260188760849,127.04058723138232,127.29893543977016
7,Setup,134.4478600004577,140.48413809577292,20.633910792903112,14.381753885924022,0.8635426982291384,131.0936302104057,132.61075198228662
8,Setup,133.53373528472264,143.45848253276495,24.787715623466013,15.04068052355325,0.8748057424839382,131.54978192436784,127.35642942623686
9,Setup,131.65860077748962,140.47402308541027,25.508330804223515,16.596689862621922,0.9193614363314365,130.35329141857184,119.32285704278371
10,Setup,132.91713198370897,141.62604907708834,24.647029513473637,19.644916840373323,0.9233523855602285,132.49093579362346,121.30135708219953
11,Setup,133.99301824096432,143.71039039085073,22.544649777762505,16.366508873753958,0.971802671534819,128.59598699314157,126.13323502129347
12,Setup,133.55073776646762,138.71111586085658,20.453435329425396,15.78003136833749,1.0397744133182862,129.59384512310453,127.8823691446079
13,Setup,131.14247778198657,138.90720149737456,25.898531029605568,18.820680820360977,1.0827624187748761,131.71853934960984,123.73112224961245
14,Setup,132.98009856257443,139.79176538506263,23.731684774804688,17.335522997784945,1.0625578083387952,131.8559658405883,125.47046314514623
15,Setup,132.64198441755764,138.02039768594327,22.8770114396761,16.270384459980274,1.0315631180908753,131.10240108738964,122.53845972346255
